退出中共|Quit CPC
无码毛片|Uncensored Maopian
午夜大秀|Midnight big show
午夜挩衣|Midnight Yan Yi
想妹子服务加|Want sister service plus
小电影加威信|Small movie Algarve letter
信誉裸秀|Credit naked show
性感玩逼|Sexy force play
羞b羞乳裸|B shame shame naked breast
羞钕抠ｂ|Shame neodymium pull B
羞钕脱光|Neodymium naked shame
秀b美乳|Show B Breasts
秀女qq|QQ show women
需要av的加|Need av plus
需要课聊|Need Lesson chat
艳射舞|Yan dance radio
要课聊加|Add to class to talk
一对一裹聊|One wrapped chat
一对一粿|One cake
一对一裸|One naked
一对一视频|One video
一对一视屏聊|One screen chat
一对一视屛|One visual Ping
一对一脱衣|One strip
一夜情加|One Night Stand plus
忧货汝|Worry cargo Ru
有裸聊的吗|Do have nude chat
约炮q|About guns Q
约炮的请加|About guns, please add
约炮加q|About gun plus Q
约炮加我|Add me about gun
约炮群|About Baoqun
云盘av专卖|Cloud AV disc Monopoly
云盘v片|Cloud sheet tray v
云盘电影|Cloud disc movie
云盘加q|Cloud dish plus Q
云盘美女电影|Cloud Beauty movie disc
云盘啪啪|Cloud tray pops
云盘万部|000 cloud disk unit
云盘-微信|Cloud plate - micro letter
云盘做爱电影|Cloud disk sex movie
在线看av|Online see AV
在线裸汝|Online bare Ru
在线裸舞|Online nude dancing
在线钕|Online neodymium
在线骚妹|Online show girl
找寂寞娚|Find lonely Nan
找小姐加|Find Miss plus
真人大秀|Real big show
制服一对一|Uniform one
种子云盘|Seed cloud disk
主播大秀|Anchor big show
自拍视频加微信|Profile video plus micro letter
自拍自慰|Self-masturbation
走私qq|Smuggling QQ
走私表演|Performance smuggling
走私视频|Smuggling Video
最新成~人~网|Latest into ~ people ~ network
最新簧片|Latest Reed
做爱a片|A piece sex
做爱加|Sex plus
主播奶子|Anchor Boobs
成人脱|Adult off
处女y片|Virgin Y piece
001 -800 -546 -4518|
001-626-457-8037|
黄色歪|Yellow crooked
贾晓晔|Jia Xiaoye
被判處無期|Was sentenced to an indefinite period
被判处无期|Sentenced to an indefinite period 
一审无期徒刑|The first trial to life imprisonment
权钱帝国|Imperial power and money
周xx|Zhou xx
一审被判无期|Sentenced to life in prison in the first trial 
周灏|Zhou Hao
温青山|Wen Qingshan
丁雪峰|Ding Xuefeng
蒋洁敏|Jiang Jiemin
山西帮|Shanxi Clique
石油帮|Oil clique
权钱、权色交易|Power-money, power-sex trade
国法红线|The red line of the state law
無期徒刑|life imprisonment
洩露國家秘密|Leaking state secrets
濫用職權|Abuse of power
賈曉曄|Jia Xiaoye
周濱|Zhou Bin
周滨|Zhou Bin
epochtimes  中共|Epochtimes CPC
epochtimes"九评|Epochtimes "Nine Commentaries
epochtimes"中共|Epochtimes "CCP
gardennetworks"epochtimes|Gardennetworks "epochtimes
tuidang"epochtimes|Tuidang "epochtimes
tuidang@epochtimes|Tuidang @ epochtimes
江氏独裁"中共|Jiang's dictatorship "CCP
裁判嘴长菊花上|Referee mouth long chrysanthemum
10元=900qb|10 yuan = 900QB
10元10万lol|10 yuan 100,000 lol
棵liao加妹|Trees liao plus sister
soundofhope|Soundofhope
党内分歧|Inner-party differences
讲法录像|Lecture Recording
江氏独裁|Jiang's dictatorship
大法简介|Dafa Introduction
迫害新唐人|Persecution NTDTV
新唐人"反迫害|NTDTV "Persecution
新唐人"退党|NTDTV 'resignations
001-604-276-2569|001-604-276-2569
001 -818 -338 -2883|0.01 -818-338-2883
001-201-625-6301|001-201-625-6301
001-702-248-0599|001-702-248-0599
secretchina"看中国|Secret China
secretchina中共|Secretchina CPC
selfip"secretchina"ncn|Selfip "secretchina" ncn
动态网最新地址|Dynaweb latest address
揭露中共 迫害|Expose the CCP's persecution
迫害真相调查|Investigation on Persecution
武警"大纪元|Armed "Epoch
如意搜索|Ruyi Search
林轻舟"看中国|Forest Adventure "See China
赵子法报导|Zhao Zifa
中国 零八宪章|Chinese Charter 08
零八宪章 签名|Signature of Charter 08
冲向会场|Rushed to the venue
6700亿|670000000000
30亿工程|3 billion project
「红烧兔子」大餐|"Braised rabbit" feast
虐待中国妇女的|Abused Chinese women
天下蒙古人|World Mongols
叶城喀什|Kashgar City, Yecheng County
五十名中将|Fifty in
50名中将|50 in
江蛤蛤|River clam clams
关于真理|About Truth
巨大的成功|A huge success
ωωω．sьь3．cοm|Ωωω. sЬЬ3. cοm
挖眼角膜|Dig cornea
国家人权行动|National Human Rights Action
共匪荼毒|Communist poison
打倒共匪|Down with the CCP bandits
「红烧兔子」|"Braised rabbit."
我出钱你炒股|I pay you stocks
线上配资|Online with capital
无需证券开户|No securities account
创新融资工具|Innovative financing tools
股票配资|Shares with capital
看阴道加|Look vaginal plus
aъсъъκ|
艾青“逆子”|Ai Qing "inverse"
自由与人权斗士|Freedom and human rights fighters
《老妈蹄花》|"Mom Ti Hua"
公民调查|Citizen Survey
kickstarter|KickStarter
艾未未沙尘暴|Ai Weiwei Sandstorm
杰森·维什诺|Jason Wei Shennuo
艾#未未|Ai Weiwei #
jason wishnow|Jason Wishnow
人权斗士|Human rights fighters
维什诺|Wei Shennuo
水贩子|Water traffickers
杜可风|Doyle
艾未来|Ai Future
yyfuzhu|YyFuZhu
yy直播出事| yy live accident
忘关视频被啪|forgot to turn off the video while having sex
忘记关视频被啪|forgot to turn off the video while having sex
yy出事视频| yy accident video
yy不雅视频| YY indecent video
主播不雅视频| Anchor indecent video
بۇلۇتلۇق ھاۋا|cloudy weather
نەرسىلەر ياخشى|good things
بار يەردە توي پالانچى|wedding place
ياخشى سودا|good business/trade
زۇكام يۇقۇملۇق|contagious flue
يېتىش بالنىستا|stay in hospital
باشقۇرۇش بازار|market management
قۇغۇنى قۇمۇل|Komul's sweet mellon 
ياڭيۇ تاتلىق|sweet potato
دىگەن سالاي كۆۋرۈك|hope to build a bridge
mahpi|secret
qurultay|congress
kurultay|congress
kurulteyi|congress
kurax|
kurex|
istiklal|victory
istiqlal|victory
hokomiti|
hokomat|
hukumat|
tashkilat|
teshkilat|
مۇناپىق|traitor
قادىر رابىيە|Rebiya Kadeer
كوممۇنىست|communist
ئىسلام ئاۋازى|voice of Islam
تاھىر يۇلداشە|Tahi Yoldashov/f
qural|weapon
kural|weapon
تۈركىستان|Dogu/East Turkestan
ئەبۇ زەيد|Abu Zayd
پارتلىتىش|blow up/explosion
تاجاۋۇز|invasion
tajawuz|
ئابدۇللاھ مەنسۇر|Abdullah Mensur
مۇجاھىد|mujahid
azatqi|
mujahid|
xinjiang terrorist|
بىن لادىن|Bin Laden
bin ladin|
jihadtexkilat|
terrori|Terror
terrorist|Terrorist 
terorist|Terrorist 
بازار ەشكىلاتىەلقائىدە تەشكىلاتىئ|Bazaar Teshkilatelqaide/organization of rule
ئۆزبېكىستان ئىسلام ھەركىتى|Turkestan Islamic Movement
وگۇ تۈركىستان|Dogu/East Turkestan
تۈركىستان  ئىسلام پار تىيىسى|Turkestan Islam Party
كاپىر|non-believer
جىھاد|jihad
partila|explode
partla|explode
jehat|jihad
jahad|jihad
ixit|dog
amut|pear
كامىرا|camera
دوختۇر|doctor
ئىت|dog
داۋالىنىش|get treatment
شىپاخانا|clinic
دوختۇرخانا|hospital
ئەمىر|leader
كىنىشكە|card
دەپتەر|notebook
ھاۋانچا|a mortar
تۇربا|pipe
ياڭاق|walnut
گۈرۈچ|rice
نەشپۈت|pear
ئامۇت|pear
سەۋزە|carrots
پىياز|onion
چامغۇر|turnip
emir|leader
mehpi|secret
jihat|jihad
texkilat|organization
taxkilat|organization
hitay|Chinese
خىتاي|Chinese
硝基脲炸药|Nitrourea explosives
特屈儿炸药|Special flexor children explosives
三硝基苯甲硝胺|Three tetryl
硝酸肼|Hydrazine nitrate
硝酸盐炸药|Nitrate explosives
漂白剂炸弹|Bleach bomb
硝化棉炸药|Nitrocellulose explosives
引爆系统|Detonation system
硝酸甘油炸药|Nitroglycerin dynamite
铝热炸弹|Thermite bomb
无锈蚀击发药|No rust firing drug
无雷汞击发药|No Leigong firing drug
白糖炸弹|Sugar bomb
高压锅炸弹|Pressure cooker bomb
简易定时炸弹|Easy Time Bomb
简易空气炮|Simple air cannon
化肥炸弹|Fertilizer bomb
干冰炸弹|Dry Ice Bomb
黄色炸药苦味酸|TNT picric
雷汞炸药|Leigong explosives
碎片式地雷|Fragmented mines
制作地雷|Create mines
出售地雷|For Sale mines
爆炸式地雷|Explosive mines
黑梯铝炸药|Black aluminum ladder explosives
粉笔炸弹|Chalk bomb
气狗v信|Air Dog v letter
气狗威信|Air Dog prestige
汽狗威信|Steam dog prestige
汽狗v信|Steam dog v letter
硝糖烟雾弹|Glass Sugar smoke bomb
简易爆炸装置|Improvised explosive devices
鸡尾酒炸弹|Cocktail bomb
爆炸箭头|Exploding arrows
汽油燃烧弹|Gasoline incendiary
凝固汽油弹|Napalm
泡沫聚苯乙烯|Styrofoam
硝酸肼液体|Hydrazine nitrate liquid
硝酸肼镍|Nickel hydrazine nitrate
太恩炸药|Well too explosive
淘宝刷销量|Taobao brush sales
淘宝刷流量|Taobao brush flow
刷信誉|Brush credibility
淘宝刷单|Taobao Scalping
淘宝兼职|Taobao part timer 
网上兼职|Online part
网络兼职|Network part-time
刷好评|Brush praise
淘宝放单|Taobao release a single
网络电视软件|Internet TV software
网络电视机顶盒|Network TV set-top boxes
电视棒|TV Stick
网络视频收集器|Network video collector
刘源|Liu Yuan
3400亿|340000000000
金色艺术团|Golden Troupe
黄之峰|Wong Chi-fung
影视棒|TV stick
jabhat|Jabhat 
345194446|
ss2676|
割头视频|Cutting Head Video
残忍割头|Cruel Cutting Head
割喉斩首|Cutthroat beheading
باريس_تشتعل|Paris Burns 
18688894409|
13580457144|
刷销量|click farming
假币销售|Counterfeit sales
精仿假币|Fine imitation of counterfeit money
军品弩刀|Military crossbow knife
刀弩军刺|Knife Crossbow Shanker
刀，弩|Knife, crossbow
刀弩＋q|Knife crossbow + q
刀弩q|Knife Crossbow q
刀弩+q|Knife crossbow + q
ow吸毒被抓|ow, took drugs, was arrested
磕p视频|P knock Video
تەجەللىي|Tejellih
شۈكىروف|Shukirof
弓弩军刺|Crossbow Shanker
aldinki|Aldinki
sada005|Sada005
详情+qq群|Details + QQ group
清华大学教授|Professor of Tsinghua University
做单佣金|Do a single commission
推荐费|Referral Fee
假聊|False talk
返现返款|Cash back rebate
五區公投|Five district referendum
公投制憲|Constitutional Referendum
普羅政治學苑|Proletariat Political Institute
鄭錦滿|Cheng Kam-mun
鄭松泰|Cheng Chung-tai
黃洋達|Wong Yeung-tat
黃之鋒|Wong Chi-fung
komünist|Communist
cemaati’nden|the community
cihad|Jihad
partiyasi|Party
katlediyor|slaughtering
vahşice|savagely
müslüman|Muslim
inşallah|God willing
doğu|East
cemaati|Community
点艹韩雅|Point Fuck Han Ya
新疆籍劫匪|Xinjiang membership robbers
法论大法|Falun Dafa
反革命集团|Counterrevolutionary group
革命大批判|Revolutionary mass criticism
反革命政变|Counterrevolutionary coup
反击右倾翻案风|Counterattack the Right-Deviationist Reversal-of-Verdicts Trend
全面反思派|Full Reflection School
重新评价派| Re-evaluation of school
民粹主义者|Populist
批林批孔|Criticize Lin , Criticize Confucius 
派性斗争| Factional struggle
修正主义| Revisionism
新华门|Xinhua Gate
文革信徒|Cultural Revolution believers
反思文革|Reflections on Cultural Revolution
文革复辟|Restoration of the Cultural Revolution
红歌晚会|red song gala
十日文革|Ten days of the Cultural Revolution
文革底片|Cultural Revolution film
紅色青年|Red Youth 
李振盛| Li Zhensheng
文革遗产|Cultural Revolution Legacy
共产流氓|Communist hooligans
暴政掠夺|Tyranny plunder
南京郵電大學|Nanjing University of Posts and Telecommunications
翻牆軟件|Software over the wall
shadowsocks|Shadowsocks
專制統治|Dictatorship
一黨獨裁|One-party dictatorship
团派干部|Tuanpai PERSONNEL
习平衡|Xi balance
各方派系|Factional parties
和平变革|Peaceful change
宪政变革|Constitutional Reform
五一六通知|May 16 Notification
李崇威|Lichong Wei
香港中国笔会|Hong Kong Chinese PEN
红歌演唱会|Red Song Concert
文革余孽|Remnants of the Cultural Revolution
文革平反|Vindication of the Cultural Revolution
吴君梅|Wu Junmei
6·4英烈|6.4 martyrs
耀邦紫阳| Yaobang,  Ziyang
张国忠|Zhang Guozhong
于世文|Yu Shiwen
郭飛雄|Guo Feixiong
郭飞雄|Guo Feixiong
悼念64|64 memorial
64之殇|Deaths of 64
64万岁|64 Viva
64文化祭|64 Culture Festival
64文化传播|64 Cultural Communication
64学生坦克|64 students tanks
64伤痛历史|64 pain history
64动百度乱|64 moving Baidu chaos
64事变|64 Incident
64纪念|64 Memorial
64信息|64 Information
64怀念|64 memorials
怀念64|Miss 64
缅怀64|64 recall
勿忘64|Do not forget 64
64大屠杀|64 massacre
89年64|89 64
64戒严|64 martial law
64惨案|64 tragedy
64屠杀|64 massacre
64真相|64 Truth
64tiananmen|64tiananmen
南北院之争|North-South School Debate
木樨地大屠杀|Muxidi massacre
大。法。好|Falun. Dafa. Good.
大。发。好|Falun. Dafa. Good.
文.革|cultural revolution
香港大学生会|The Hong Kong University Students' Union
支連会|Hong Kong Alliance in Support of Patriotic Democratic Movements in China
尖沙嘴|Tsim Sha Tsui
尖沙咀|Tsim Sha Tsui
維園|Victoria Park
燭光|Candlelight
六四 北京|June 4 Beijing
六四 八九|June 4 89
六四 军队|June 4 army
六四 胡耀邦|June 4 Hu Yaobang
六四 民主|June 4 Democracy
六四 绝食|June 4 hunger strike
六四 纪念|June 4 Memorial
六四 香港|June 4 Hong Kong
64 北京|64 Beijing
64 八九|64 89
64 军队|64 army
64 胡耀邦|64 Hu Yaobang
64 民主|64 democracy
64 绝食|64 hunger strike
64 纪念|64 Memorial
64 香港|64 Hong Kong
八九 学潮|89 Student strike
一九89|1989
八九 北京|89 Beijing
八九 军队|89 Army
八九 胡耀邦|89 Hu Yaobang
八九 民主|89 Democarcy
八九 绝食|89 Hunger strike
八九 纪念|89 Memorial
八九 香港|88 Hong Kong
89 北京|89 Beijing
89 军队|89 army
89 胡耀邦|89 Hu Yaobang
89 民主|89 democracy
89 绝食|89 Hunger strike
89 纪念|89 Memorial
89 香港|89 Hong Kong
89八平方|89 square of 8
北京 政治风波|Beijing political storm
北京 27年|Beijing 27 years
北京 血腥|Beijing bloody
木樨地 纪念|Muxidi Memorials
天安门 黑衫|Tiananmen Blackshirts
天安门 清场|Tiananmen clearance
广场 坦克|Square tank
天安门妈妈|Tiananmen mothers
北京 黑衫|Beijing Blackshirts
港人 游行|Hong Kong parade
寻找 王维林|Looking for Wang Weilin
郭飞雄 公开信|Guo Feixiong open letter
民主风筝|Democratic Kites
唐荆陵 绝食| Tang Jingling hunger strike
张善光 学生| Student Zhang Shanguang
倾斜的天安门|Tilt Tiananmen
贞洁的眼神|Chaste eyes
徐彩虹 被捕|Xu Caihong arrested
六四期间|June 4 period
89 64|8964
六四 坦克|June 4 tank
六四 赵紫阳|June 4 Zhao Ziyang
六四 政府|June 4 government
六四 示威|June 4 demonstration
六四 悼念|June 4 tribute
六四 重返|June 4 return
64期间|64 period
64 殇|64 death
64 坦克|64 tanks
64 赵紫阳|64 Zhao Ziyang
64 政府|64 government
64 示威|64 demonstrators
64 悼念|64 memorial
64 重返|64 return
八九事件|89 event
19八九|1989
八九 学生|89 student
八九 坦克|89 tank
八九 赵紫阳|89 Zhao Ziyang
八九 政府|89 government
八九 示威|89  demonstrations
八九 悼念|89 memorial
八九 重返|89 return
89 学生|89 student
89 坦克|89 tank
89 赵紫阳|89 Zhao Ziyang
89 政府|89 government
89 示威|89 demonstration
89 悼念|89 memorial
89 重返|89 return
89viiv|89VIIV
春夏之交 风波|Political turmoil between the Spring and Summer
北京 二十七年|Beijing twenty-seven years
39军 进京|39th Group Army Enter Beijing
木樨地 蜡烛|Muxidi Candle
天安门 散步|Tiananmen Walking
天安门 重返| To return to Tiananmen Square
广场 屠杀|Square massacre
天安门 受难| Tiananmen Crucifixion
占领 天安门|Occupied Tiananmen Square
维园 晚会|Victoria Park Virgil
杜宪 新闻联播|Du Xian Xinwen Lianbo
郭飞雄 张青|Guo Feixiong Zhang Qing
推土机 种花|Blooms of Darkness
周锋锁 真相|Zhou Fengsuo Truth
李勇 捐款|Li Yong donation
盛雪 推特|Shengxue Twitter
王丹 贴纸|Wang Dan Stickers
白衬衫 散步|White shirt walking
六四 平反|June 4 Vindication
六四 拖拉机|June 4 tractor
六四 腐败|June 4 corruption
六四 座谈|June 4 discussion
六四 静坐|June 4 sit still
六四 黑衫|June 4 blackshirt
六四 街头|June 4 street
64 惨案|64 tragedy
64 平反|64 vindication
64 天安门|64 Tiananmen
64 拖拉机|64 tractor
64 腐败|64 corruption
64 座谈|64 discussion
64 静坐|64 sit still
64 黑衫|64 Blackshirts
64 街头|64 streets
八九风波|89 turmoil
八九 平反|89 vindication
八九 天安门|89 Tiananmen
八九 拖拉机|89 trator
八九 腐败|89 corruption
八九 座谈|89 discussion
八九 静坐|89 sit still
八九 黑衫|89 blackshirts
八九 街头|89 street
89 拖拉机|89 tractor
89 腐败|89 corruption
89 座谈|89 discussion
89 静坐|89 sit still
89 黑衫|89 Blackshirts
89 街头|89 streets
89 屠杀|89 massacre
北京 游行|Beijing parade
北京 平反|Beijing Vindication
北京 坦克人| Beijing tank person
蜡烛 没了|Candle is gone 
天安门 镇压|Tiananmen crackdown
天安门 回忆|Tiananmen memories
广场 拖拉机| Square tractor
六四 烛光|June 4 candlelight
维园 烛光|Victoria Park candlelight
温云超|Wen Yunchao
郭飞雄 维权|Guo Feixiong Rights Defense
民主女神 台湾|Taiwan Goddess of Democracy
尤维洁| You Weijie
chimerica|Chimerica
张先玲 母亲|Zhang Xianling mother
谭作人 疫苗|Tan Zuoren vaccine
六四 申遗|June 4 inscription
六四 二十七年|June 4 twenty-seven years
六四 镇压|June 4 crackdown
六四 血腥|June 4 bloody
六四 社论|June 4 editorial
六四 游行|June 4 parade
六四 血衣|June 4 Blood pants
六四 反思|June 4 reflection
64风波|64 turmoil
64 二十七年|64 twenty-seven years
64 镇压|64 crackdown
64 血腥|64 bloody
64 社论|64 Editorials
64 游行|64 parade
64 血衣|64 Blood pants
64 反思|64 Reflection
八九 27年|89 27 years
八九 镇压|89 repression
八九 血腥|89 bloody
八九 社论|89 editorial
八九 游行|89 parade
八九 血衣|89 Blood pants
八九 反思|89 reflection
89 镇压|89 crackdown
89 血腥|89 bloody
89 社论|89 Editorials
89 游行|89 parade
89 血衣|89 blood shirt
89 反思|89 Reflection
八九 屠杀|89 massacre
北京 学运|Beijing student movement
北京 镇压|Beijing crackdown
蜡烛 没收|Candle confiscation
北京 屠城| Beijing massacre
拖拉机 天安门|Tractor Tiananmen
天安门 敏感词|Tiananmen sensitive words
寻找 坦克|Looking for tanks
坦克 白衬衫| Tank white shirt
赵威 狱中|Zhao Wei prison
特朗普 六四|Trump June 4
玫瑰团队|Rose Team
郭宝胜 被捕|Guo Baosheng arrested
张永宁 t恤|Zhang Yongning T-shirt
费良勇 德国|Fei Liangyong Germany
赫建 采访|Hao Jian Interview
邓丽君 舞台剧|Deng Lijun Stage Play
六四 学潮|June 4 student strike
六四 27年|June 4 27 years
六四 遇难|June 4 victim
六四 邓小平|June 4 Deng Xiaoping
六四 中共|June 4 CCP
六四 39军|June 4 39th Group Army
六四 清场|June 4 clearance
六四 呼吁|June 4 advocate
陆4|Land 4
64 学潮|64 Student Strike
64 27年|64 27 Years
64 遇难|64 victims
64 邓小平|64 Deng Xiaoping
64 中共|64 Chinese Communist Party
64 39军|64 39th Group Army
64 清场|64 clearance
64 呼吁|64 advocate
捌玖年|89 year
八九 二十七年|89 twenty-seven years
八九 遇难|89 victims
八九 邓小平|89 Deng Xiaoping
八九 中共|89 Chinese Communist party
八九 39军|89 39th Group Army
八九 清场|89 clearance
八九 呼吁|89 advocate
八九 屠城|89 massacre
89 遇难|89 victims
89 邓小平|89 Deng Xiaoping
89 中共|89 Chinese Communist Party
89 39军|89 39th Group Army
89 清场|89 clearance
89 呼吁|89 advocate
89之光|light of 89
89爱国运动|89 Patriotic Movement
北京 学潮|Beijing student movement
北京 清场| Beijing Clearance
北京 学生领袖|Beijing student leaders
木樨地甩站|Muxidi Subway Station 
天安门 血|Tiananmen blood
天安门 27年|Tiananmen Square 27 years
六四 无日无之|June 4 almost every day
符海陆|Fu Hailu
考拉 狱中|Koala prison
川普 六四|Trump June 4
于世文 绝食|Yu Shiwen hunger strike
徐琳 歌曲| Xu Lin songs
张永宁 纪念| Zhang Yongning Memorial
王策 西班牙|Wang Ce Spain
徐彩虹 北京|Xu Caihong Beijing
绿叶行动| Green Leaf action
六四北京|June 4 Beijing
六四八九|June 4 89
六四军队|June 4 army
六四胡耀邦|June 4 Hu Yaobang
六四民主|June 4 democracy
六四绝食|June 4 hunger strike
六四纪念|June 4 memorial
六四香港|June 4 Hong Kong
64北京|64 Beijing
64八九|64 89
64军队|64 army
64胡耀邦|64 Hu Yaobang
64民主|64 democracy
64绝食|64 hunger strike
64香港|64 Hong Kong
八九北京|89 Beijing
八九军队|89 army
八九胡耀邦|89 Hu Yaobang
八九绝食|89 hunger strike
八九纪念|89 memorial
八九香港|89 Hong Kong
89北京|89 Beijing
89军队|89 army
89胡耀邦|89 Hu Yaobang
89民主|89 democracy
89绝食|89 hunger strike
89纪念|89 Memorial
89香港|89 Hong Kong
北京政治风波|Beijing political storm
北京27年|Beijing 27 years
北京血腥|Beijing bloody
木樨地纪念|Muxidi Memorials
天安门黑衫|Tiananmen Blackshirts
天安门清场|Tiananmen clearance
广场坦克|Square tank
北京黑衫| Beijing Blackshirts
港人游行|Hong Kong parade
寻找王维林|Looking For Wang Weilin
郭飞雄公开信|Guo Feixiong open letter
唐荆陵绝食|Tang Jingling hunger strike
张善光学生|Student Zhang Shanguang
徐彩虹被捕| Xu Caihong arrested
六四学生|June 4 student
六四坦克|June 4 tank
六四赵紫阳|June 4 Zhao Ziyang
六四政府|June 4 government
六四示威|June 4 demostration
六四悼念|June 4 memorial
六四重返|June 4 return
64学生|64 students
64殇|64 death
64坦克|64 tanks
64赵紫阳|64 Zhao Ziyang
64政府|64 government
64示威|64 demonstrators
64悼念|64 demostration
64重返|64 return
八九学生|89 student
八九坦克|89 tank
八九赵紫阳|89 Zhao Ziyang
八九政府|89 government
八九示威|89 demostration
八九悼念|89 memorial
八九重返|89 return
89学生|89 students
89坦克|89 tanks
89赵紫阳|89 Zhao Ziyang
89政府|89 government
89示威|89 demonstrators
89悼念|89 memorial
89重返|89 return
春夏之交风波|turmoil between spring and summer
北京二十七年|Beijing twenty-seven years
39军进京|39th Group Army enter Beijing
木樨地蜡烛|Muxidi Candle
天安门散步| Tiananmen Walking
天安门重返| To return to Tiananmen Square
广场屠杀| Square massacre
天安门受难|Tiananmen Crucifixion
占领天安门|Occupy Tiananmen Square
杜宪新闻联播|Du Xian Xinwen Lianbo
郭飞雄张青|Guo Feixiong Zhang Qing
推土机种花|Blooms of Darkness
周锋锁真相|Zhou Fengsuo Truth
李勇捐款|Li Yong Contributions
盛雪推特|Sheng Xue tweets
王丹贴纸|Wang Dan Stickers
白衬衫散步|White shirt walking
六四拖拉机|June 4 tractor
六四腐败|June 4 corruption
六四座谈|June 4 discussion
六四静坐|June 4 sit still
六四黑衫|June 4 blackshirt
六四街头|June 4 street
64平反|64 vindication
64天安门|64 Tiananmen
64拖拉机|64 tractor
64腐败|64 corruption
64座谈|64 discussion
64静坐|64 sit still
64黑衫|64 Blackshirts
64街头|64 streets
八九平反|89 vindication
八九天安门|89 Tiananmen
八九拖拉机|89 tractor
八九腐败|89 corruption
八九座谈|89 discussion
八九静坐|89 sit still
八九黑衫|89 blackshirts
八九街头|89 street
89天安门|89 Tiananmen
89拖拉机|89 tractor
89腐败|89 corruption
89座谈|89 discussion
89静坐|89 sit still
89黑衫|89 Blackshirts
89街头|89 streets
89屠杀|89 massacre
北京游行|Beijing parade
北京平反|Beijing vindication
北京坦克人|Beijing tanks person
蜡烛没了|Candle is gone
天安门回忆|Tiananmen memories
广场拖拉机|Square tractor
维园烛光|Victoria Park candlelight
郭飞雄维权|Activist Guo Feixiong
民主女神台湾|Taiwan Goddess of Democracy
张先玲母亲|Zhang Xianling mother
谭作人疫苗|Tan Zuoren vaccine
六四申遗|June 4 inscription
六四二十七年|June 4 twenty-seven years
六四镇压|June 4 crackdown
六四血腥|June 4 bloody
六四社论|June 4 editorial
六四血衣|June 4 blood shirt
六四反思|June 4 reflection
64二十七年|64 twenty-seven years
64镇压|64 crackdown
64血腥|64 bloody
64社论|64 Editorials
64游行|64 parade
64血衣|64 pants
64反思|64 Reflection
八九27年|89 27 years
八九镇压|89 repression
八九血腥|89 bloody
八九社论|89 editorial
八九游行|89 parade
八九血衣|89 blood shirt
八九反思|89 reflection
89镇压|89 crackdown
89血腥|89 bloody
89社论|89 Editorials
89游行|89 parade
89血衣|89 blood shirt
89反思|89 Reflection
八九屠杀|89 massacre
北京学运|Beijing student movement
北京镇压| Beijing crackdown
蜡烛没收|Candle confiscation
天安门二十七年|Tiananmen twenty-seven years
拖拉机天安门|Tractor Tiananmen
天安门敏感词|Tiananmen sensitive words
寻找坦克| Looking for tanks
坦克白衬衫|Tank white shirt
赵威狱中| Zhao Wei prison
特朗普六四|Trump June 4
郭宝胜被捕|Guo Baosheng arrested
张永宁t恤|Zhang Yongning T-shirt
费良勇德国|Fei Liangyong Germany
赫建采访|Hao Jian Interview
邓丽君舞台剧|Deng Lijun Stage Play
六四27年|June 4 27 years
六四遇难|June 4 victims
六四邓小平|June 4 Deng Xiaoping
六四中共|June 4 Chinese Communist Party
六四39军|sixty-four 39th Group Army
六四清场|June 4 clearance
六四呼吁|June 4 advocate
6427年|June 4 27 years
64遇难|64 victims
64邓小平|64 Deng Xiaoping
64中共|64 Chinese Communist Party
6439军|64 39th Group Army
64清场|64 clearance
64呼吁|64 advocate
八九二十七年|89 twenty-seven years
八九遇难|89 victims
八九邓小平|89 Deng Xiaoping
八九中共|89 Chinese Communist party
八九39军|89 39th Group Army
八九清场|89 clearance
八九呼吁|89 advocate
八九屠城|89 massacre
89遇难|89 victims
89邓小平|89 Deng Xiaoping
89中共|89 CPC
8939军|89 39th Group Army
89清场|89 clearance
89呼吁|89 advocate
北京学潮|Beijing student movement
北京清场|Beijing Clearance
北京学生领袖|Beijing student leaders
天安门血|Tiananmen blood
天安门27年|Tiananmen Square 27 years
六四无日无之|June 4 almost every day
考拉狱中|Koala prison
川普六四|Trump June 4
于世文绝食|Wen world hunger
徐琳歌曲|Xu Lin songs
张永宁纪念| Zhang Yongning Memorial
王策西班牙|Wang Ce Spain
徐彩虹北京|Xu Caihong Beijing
大花猫捕狗药|Tabby Cat catch drug dog
闹狗药|Trouble drug dog
毒狗箭|Dog poison arrow
毒狗丸|Dog poison pill
毒狗针|Dog poison needle
氯化琥珀胆碱|Succinylcholine chloride
平近习|Xi Jinping
林祖銮|Lin Zulian
林祖戀|Lin Zulian
還我書記|Return our secretary
林荣基|Lam Wing Kee
天國樂團|Tian Guo Marching Band
天国乐团|Tian Guo Marching Band
彭麻麻|Peng Ma Ma
中央 习|Central Xi
习大大|Uncle Xi or Big Daddy Xi
刁近乎|Diao Jinhu
全歼菲方空军|Wipe out the Philippine Air Force
习总的拒绝|President Xi's rejection
中央政治局|Central Poliburo
快手号|Kuai Shou ID
快手id|Kuai Shou ID
快手呺|Kuai Shou ID
映客|Ying Ke
快手|Kuai Shou
陌陌|Momo
六间房|Six Room
网易bobo|Netease BOBO
腾讯直播|Tencent Live
qq空间直播|QQ Space Live
花样直播|Hua Yang Live
繁星|Fan Xing
奇秀|Qi Xiu
酷我|Ku Wo
秀色|Xiu Se
kk直播|KK Live
红磨坊|Moulin Rouge
17173|
69直播|69 Live
