退出中共|Quit CPC
中共的黑幕+政治独裁+雾霾和雷阳案|CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang
中共的黑幕+政治獨裁+霧霾和雷陽案|CCP's skeleton in the closet + Political Autocracy + Smog and The Case of Lei Yang
习近平+崇毛情结+搏取上位+高层内斗|Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership
習近平+崇毛情結+搏取上位+高層內鬥|Xi Jinping + Complex of Worshipping Mao (Zedong) + Climb Up Career Ladder  + Power Struggle within the Leadership
薄熙来不垮台+保住身家+权力分配+习近平|Bo Xilai Weren't Overthrown + Keep their wealth + Power Distribution + Xi Jinping
中共+权力斗争+政变|CCP + Power Struggle + Coup
薄熙来倒台+习近平时代+搞权力斗争|Bo Xilai's downfall + Xi Jingping's Era + Power Play
习薄斗争+尤其毛左派+遭到报复|Xi (Jinping) Bo (Xilai)'s Fight + Especially Mao Leftist + Face Retaliation
集体自卫+中共一直利用+军事化辩护|Collective Self-Defense + CCP Has Been Exploiting + Defend Its Militarization (in South China Sea)
中共御用网络+习近平+袒护金家王朝|CCP's Special Internet (Commentator) + Xi Jinping + Shield the Kim Dynasty
中国官方媒体+号召民众+抵制韩货+民众报复|China's State Media + Call for pelple + To Boycott Korean goods + Retaliated by people
卜睿哲+习近平选择+朴槿惠等了很久|Richard Bush III (Said) + Xi Jinping Chose to + Let Park Geun-hye Wait Long
卜睿哲+习近平的态度+形成鲜明对比|Richard Bush III (Said) + Xi Jinping's Attitude + Forms Sharp Contrast 
毒害学生+培育民族仇恨+洗脑教育|Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education
毒害學生+培育民族仇恨+洗腦教育|Poison Students + Cultivate Nationalistic Hatred + Brainwashing Education
郭文贵+爆料|Guo Wengui + Expose 
郭文貴+爆料|Guo Wengui + Expose 
郭文贵+专访|Guo Wengui + Interview 
郭文贵+电视|Guo Wengui + Television 
郭文贵+习近平|Guo Wengui + Xi Jinping
郭文贵+吴征|Guo Wengui + Wu Zheng
明镜+郭文贵|Mingjing (News) + Guo Wengui
郭文贵+贺国强|Guo Wengui + He Guoqiang
郭文貴+賀國強|Guo Wengui + He Guoqiang
郭文贵+李源潮|Guo Wengui + Li Yuanchao
郭文貴+李源潮|Guo Wengui + Li Yuanchao
郭文贵+令计划|Guo Wengui + Ling Jihua
郭文贵+中共|Guo Wengui + CCP
两会是一场政治秀+政治斗争+习近平|Two Sessions Is A Political Show + Potical Struggle + Xi Jinping
兩會是一場政治秀+政治鬥爭+習近平|Two Sessions Is A Political Show + Potical Struggle + Xi Jinping
习近平+知识界的压制太狠+恶劣印象|Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression
習近平+知識界的壓制太狠+惡劣印象|Xi Jinping + Harsh Cracdown on Aacademia + Bad Impression
习近平+压制言论+自己的政权带来巨大威胁|Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime
習近平+壓制言論+自己的政權帶來巨大威脅|Xi Jinping + Suppress Expression + Bring Hugh Threats to His Own Regime
李克強+辭職|Li Keqiang + Resign
习近平+巩固自己的权力+技术官僚总理|Xi Jinping + Consolidate His Own Power + Technocrat Primer 
習近平+鞏固自己的權力+技術官僚總理|Xi Jinping + Consolidate His Own Power + Technocrat Primer 
习近平+按照自己的设想+没有实权的虚位|Xi Jinping + Follow his own visions + A Position without Real Power
習近平+按照自己的設想+沒有實權的虛位|Xi Jinping + Follow his own visions + A Position without Real Power
接替李克强+习近平的亲信+中共|Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP
接替李克強+習近平的親信+中共|Replace Li Keqiang + Xi Jinping's Trusted Aide + CCP
没有制定民法典+德国之声+从摇篮到坟墓|Hasn't Made Civil Code + Desutsche Welle + From Cradles to Grave 
沒有制定民法典+德國之聲+從搖籃到墳墓|Hasn't Made Civil Code + Desutsche Welle + From Cradles to Grave 
批评指向+一把手习近平+雏形基本|Criticism is directed at + Head (or the Party) Xi Jinping + Embroynic Form (of Economic reforms) 
批評指向+一把手習近平+雛形基本|Criticism is directed at + Head (or the Party) Xi Jinping + Embroynic Form (of Economic reforms) 
迅速倒退+习近平难保+政权还能坐得稳|Go Backwards Quickly + Xi Jinping cannot guarantee + Regime is stable (no more)
德国之声+要求北京对朝鲜+中国大为不满|Deutsche Welle + (Washington) Demands Beijing to (Curb) North Korea + China Is Discontent
德國之聲+要求北京對朝鮮+中國大爲不滿|Deutsche Welle + (Washington) Demands Beijing to (Curb) North Korea + China Is Discontent
北京试图在台湾+制造混乱+共谍渗透国防|Beijing Tries to In Taiwan + Create Chaos + Communist Spy Infiltrates National Defence 
中共党魁+江泽民|CCP Party Leader + Jiang Zemin
习特勒 |Xitler
两会+习近平+政治斗争 |Two Sessions + Xi Jinping + Politial Struggle
口头上谈改革+紧紧抓住权力+习近平|Talked about Reform + Grips on Power + Xi Jinping
周强+习近平+团派 |Zhou Qiang + Xi Jinping + Tuan Pai
逃离中国+经济衰退+最大疑问+习近平|Flee China + Economic Slowdown + biggest questions + Xi Jinping
郭+贺国强|Guo (Wengui? Shuqing?) + He Guoqiang
江绵恒+纪委|Jiang Mianheng + Party Discipline and Inspection Committee
习家军+大权独揽+十九大|Xi's Army + Hold All Power + 19th Party Congress
郭+李源潮|Guo (Wengui?) + Li Yuanchao
中間道路+達賴喇嘛|Middle Way + Dalai Lama
習特勒 |Xitler
杀习大大|Kill Uncle Xi
殺習大大 |Kill Uncle Xi
十九大+王岐山+总理 |19th Party Congress + Wang Qishan + Premier
曾庆红+江系+清理|Zeng Qinghong + Jiang Clinque + Clean Up 
总理+公开信|Premier + Open Letter
抓捕+江澤民|Arrest + Jiang Zemin
趙紫陽+鄧小平+鎮壓學生|Zhao Ziyang + Deng Xiaoping + Suppress Student
被抓+曾慶紅|Arrested + Zeng Qinghong
總理+公開信|Premier + Open Letter
王宇律师+撬门|Lawyer Wang Yu + Break In 
团派+十九大+江派 |Tuan Pai + 19th Party Congress + Jiang Clinque
དུས་དབང+གོང་ས་༸ |
薄熙来不垮+政敌+李克强|Bo Xilai Doesn't Fall + Political Enemy + Li Keqiang
支持香港+占领中环 |Support Hong Kong + Occupy Central
江派+上海帮+太子党 |Jiang Clinque + Shanghai Clique + Princelings
政治斗争+习包子|Political Struggle + Xi Bun
郭+賀國強 |Guo + He Guoqiang
被删除+江绵恒+谭晶|Deleted + Jiang Mianheng + Tan Jing
郭+明镜|Guo (Wengui) + Ming Jing (News)
温家宝+政变+江派 |Wen Jiabao + Coup + Jiang Clinque
薄熙来+李克强+政敌 |Bo Xilai + Li Keqiang + Political Enemy 
胡锦涛+权力+被架空|Hu Jintao + Power + fallen into the hands of others
江澤民+迫害+控告|Jiang Zemin + Torture + Accuse 
学潮+镇压学生+赵紫阳|Student Movement + Crackdown on Students + Zhao Ziyang
毛泽东+大权独揽+屠杀|Mao Zedong + All Power In Hands + Murder
李鹏+大老虎+温家宝|Li Peng + Big Tiger + Wen Jiabao
赵紫阳+披露+邓小平 |Zhao Ziyang + Expose + Deng Xiaoping
戒严部队+天安门广场+学潮 |Martial Law Troup + Tiananmen Square + Student Movement
坦克+王维林+天安门 |Tank + Wang Weilin + Tiananmen
令计划+调查+芮成钢|Ling Jihua + Investigate + Rui Chenggang
文革+红军+镇压+德国之声|Culture Revolution + Red Army + Crackdown  + Deutsche Welle
江家帮+上海帮+太子党|Jiang Family Clique + Shanghai Clique + Princelings
戒严+赵紫阳+遭到+软禁 |Martial Law + Zhao Ziyang + Faced Wtih + House Arrest
人權律師+酷刑+打壓+中國政府|Human Rights Lawyer + Torture + Crackdown + Chinese Govt
习包子+铜锣湾书店 |Xi Bun + Causeway Bay Bookstore
引咎辭職+敦請周強院長+谨以公民身份|Resign for wrongdoings + Urge Chief Justice Zhou Qiang + As A Citizen
中共當局+政治犯+藏人|CCP Authorities + Political Criminal + Tibetan
李源潮+上海幫+團派|Li Yuanchao + Shanghai Clinque + Tuan Pai 
李源潮+上海帮+团派|Li Yuanchao + Shanghai Clinque + Tuan Pai 
胡錦濤+江派|Hu Jintao + Jiang Clinque
胡锦涛+江派|Hu Jintao + Jiang Clinque
李克强+十九大+习家军|Li Keqiang + 19th Party Congress + Xi's Army
王岐山+總理+十九大|Wang Qishan + Premier + 19th Party Congress
胡锦涛+曾庆红+被抓|Hu JIntao + Zeng Qinghong + Arrested
胡錦濤+曾慶紅+被抓|Hu JIntao + Zeng Qinghong + Arrested
黄奇帆+国务院秘书长+联合早报|Huang Qifan + State Council Secretary + Lianhe Zaobao
胡春华+失势+团派|Hu Chunhua + Lose Power + Tuan Pai
喊冤+周永康+政变 |Express Mistreatment + Zhou Yongkang + coup
權力+被架空+胡錦濤|Power + Falled into Others' Hands + Hu Jintao
曾庆红+令计划+江派|Zeng Qinghong + Ling Jihua + Jiang Clinque
屠杀+藏人 |Murder + Tibetan
曾慶紅+中共權鬥|Zeng Qinghong + CCP Power Struggle
曾庆红+中共权斗|Zeng Qinghong + CCP Power Struggle
包子+中国梦+大撒币|(Xi) Bun + China Dream + Stupidity 
高瑜+普世价值+七不讲+泄露|Gao Yu + Universal Values + Seven Don'ts + Leak
团派+落马+胡锦涛|Tuan Pai + Sacked + Hu Jintao
推翻共产党+颜色革命+港独|Overthrown CPC + Color Revolution + HK Independence
包子+宽衣+大撒币|Xi (Bun) + Loosen Clothes + Stupidity 
迫害+洗脑+邪党+暴政|Witch Hunt + Brainwash + Evil Party + Totalitarian
七上八下+中共+十九大|7(0) Up & 8(0) Down + CPC + 19th Party Congress
中共+1989+屠杀+专制|CPC + 1989 + Murder + Autocracy
གོང་ས+དུས་དབང |
李鹏+天安门+戒严+绝食|Li Peng + Tiananmen + Martial Law + Hunger Strike
中共当局+迫害+秦永敏 |CCP Authorities + With Hunt + Qin Yongmin
屠杀+中共专制+1989|Murder + CCP Authoritarian (regime) + 1989
中共+一党独裁+洗脑 |CCP + One-Party Autocracy + Brainwash
云南省长+宽衣+镇越铁路 |Leader of Yunnan Province + Loosen your clothes + Zhen Yue Railway
王岐山+江系+曾庆红+调查+架空|Wang Qishan + Jiang Clique + Zeng Qinghong + Investigate + Take Away Power
江派+太子黨+團派 |Jiang Clique + Princeling + Tuan Pai
打压+人权律师+中国政府+酷刑|Crackdown + Human Rights Lawyers + Chinese Govt + Torture
打壓+人權律師+中國政府+酷刑|Crackdown + Human Rights Lawyers + Chinese Govt + Torture
中间道路+达赖喇嘛 |Middle Way + Dalai Lama
中間道路+達賴喇嘛 |Middle Way + Dalai Lama
王岐山留+七上八下+江系|Wang Qishan Stays + 7(0) Up 8(0) Down + Jiang Clique
爆料+郭|Expose + Guo (Wengui)
薄熙来+江派+清洗 |Bo Xilai + Jiang Clique + Cleanse 
Xi+Jianhua+corruption+abducted|
镇压学生+军队+李鹏|Crackdown on Student + Army + Li Peng
太子黨+江澤民+暗殺|Princeling + Jiang Zemin + Assassinate 
政敌+王岐山+取代李克强|Political Enemy + Wang Qishan + Replace Li Keqiang
周永康+亲信+江泽民+反腐|Zhou Yongkang + Trusted Aide + Jiang Zemin + Anti-corruption
天安门广场+绝食+赵紫阳+戒严|Tiananmen Square + Hunger Strike + Zhao Ziyang + Martial Law
港独+颜色革命+推翻共产党|HK Independence + Color Revolution + Overthrow CPC
强迫性的残害+中国政府+节育器|Forced Torture + Chinese Govt + IUD
令计划+亲信+胡锦涛|Ling Jihua + Trusted Aide + Hu Jintao 
高层公开+习包子+斗争|High-level leadership publicize + Xi Bun + Fight
团派+江系+邓小平|Tuan Pai + Jiang Clique + Deng Xiaoping
下台+张德江+清洗+江派 |Resign + Zhang Dejiang + Cleanse + Jiang Clique
洗脑+89民运+独裁统治|Brainwash + 89 Democracy Movement + Autoritarianism
温家宝家族财富+中共高层|Wen Jiabao's family wealth + CCP High-lever Leader
团派+李源潮+太子党 |Tuan Pai + Li Yuanchao + Princeling
政治斗争+令计划+中共高层|Political Fight + Ling Jihua + CPC High-level Leader
习家军+红二代+王建平|Xi's Army + Second Red Generation + Wang Jianping
習家軍+紅二代+王建平|Xi's Army + Second Red Generation + Wang Jianping
周强下台+法学界人士+联名要求|Zhou Qiang Resigns + Law Professional + Co-signatory 
牺牲品+权斗+中共高层 |Sacrifice + Power Struggle + CPC High-level Leader
中共+武力镇压+1989年|CPC + Military crackdown + 1989 Year
破灭中共|Destory CPC
习李+内斗+曝光|Xi (Jinping) Li (Keqiang) + Inner Struggle + Expose
赵紫阳+镇压学生+邓小平|Zhao Ziyang + Crackdown on Students + Deng Xiaoping
趙紫陽+鎮壓學生+鄧小平|Zhao Ziyang + Crackdown on Students + Deng Xiaoping
专制独裁+毛粉+毛泽东发动 |Authoritarian + Mao's Follower + Mao Zedong Launched
专制独裁+新闻自由+毛泽东 |Authoritarian + Freedom of Press + Mao Zedong
政变+大老虎+江泽民 |Coup + Big Tiger + Jiang Zemin
亲信+江系+江泽民|Trusted Aide + Jiang Clique + Jiang Zemin
梁小军+刘晓波+煽动颠覆|Liang Xiaojun + Liu Xiaobo + Incite Subversion
批评政府+梁小军+权平|Criticize Govt + Liang Xiaojun + Kwon Pyong
共产党腐败|CPC Currption
退团+退队+退党|Quit the League + Quit The Young Pioneers + Quit the Party
团派+红二代+曾庆红|Tuanpai + Second Red Generation + Zeng Qinghong
1989年+镇压学生|1989 Year + Crackdown on Student
文革+德国之声+镇压|Culture Revolution + Deustche Welle + Crackdown
贪腐+李源潮+团派|Corruption + Li Yuanchao + Tuan Pai
疯狂维稳+剥夺+体制外|Crazily Maintain Stability + Strip off + Outside the system
郭文贵+家族|Guo Wengui + Family 
